ED_num,AD_num,zohran25,cuomo25,lander25,total25,districtid,public_housing,selected_devs,cuomo_share,mamdani_share,lander_share,leader_name,category
ED   40,AD 74,44,63,4,117,74040,TRUE,TRUE,0.5384615384615384,0.37606837606837606,0.03418803418803419,Cuomo,Cuomo 40‑60%
ED   45,AD 68,98,96,6,229,68045,TRUE,TRUE,0.4192139737991266,0.4279475982532751,0.026200873362445413,Mamdani,Mamdani 40‑60%
ED   46,AD 36,82,108,3,214,36046,TRUE,TRUE,0.5046728971962616,0.38317757009345793,0.014018691588785047,Cuomo,Cuomo 40‑60%
ED   47,AD 36,63,110,3,206,36047,TRUE,TRUE,0.5339805825242718,0.3058252427184466,0.014563106796116505,Cuomo,Cuomo 40‑60%
ED   47,AD 68,114,121,14,277,68047,TRUE,TRUE,0.4368231046931408,0.41155234657039713,0.05054151624548736,Cuomo,Cuomo 40‑60%
ED   47,AD 84,33,47,2,84,84047,FALSE,TRUE,0.5595238095238095,0.39285714285714285,0.023809523809523808,Cuomo,Cuomo 40‑60%
ED   48,AD 84,77,64,5,161,84048,FALSE,TRUE,0.39751552795031053,0.4782608695652174,0.031055900621118012,Mamdani,Mamdani 40‑60%
ED   49,AD 68,63,50,1,124,68049,TRUE,TRUE,0.4032258064516129,0.5080645161290323,0.008064516129032258,Mamdani,Mamdani 40‑60%
ED   49,AD 84,28,55,0,97,84049,TRUE,TRUE,0.5670103092783505,0.28865979381443296,0,Cuomo,Cuomo 40‑60%
ED   50,AD 41,39,69,1,118,41050,TRUE,TRUE,0.5847457627118644,0.3305084745762712,0.00847457627118644,Cuomo,Cuomo 40‑60%
ED   50,AD 68,26,50,6,99,68050,TRUE,TRUE,0.5050505050505051,0.26262626262626265,0.06060606060606061,Cuomo,Cuomo 40‑60%
ED   50,AD 84,68,69,11,166,84050,TRUE,TRUE,0.41566265060240964,0.40963855421686746,0.06626506024096386,Cuomo,Cuomo 40‑60%
ED   51,AD 41,23,46,3,83,41051,TRUE,TRUE,0.5542168674698795,0.27710843373493976,0.03614457831325301,Cuomo,Cuomo 40‑60%
ED   57,AD 68,90,39,15,163,68057,TRUE,TRUE,0.2392638036809816,0.5521472392638037,0.09202453987730061,Mamdani,Mamdani 40‑60%
ED   58,AD 68,69,74,1,153,68058,TRUE,TRUE,0.48366013071895425,0.45098039215686275,0.006535947712418301,Cuomo,Cuomo 40‑60%
ED   59,AD 68,76,38,8,140,68059,TRUE,TRUE,0.2714285714285714,0.5428571428571428,0.05714285714285714,Mamdani,Mamdani 40‑60%
ED   61,AD 68,36,58,0,105,68061,TRUE,TRUE,0.5523809523809524,0.34285714285714286,0,Cuomo,Cuomo 40‑60%
ED   65,AD 65,56,114,7,201,65065,TRUE,TRUE,0.5671641791044776,0.27860696517412936,0.03482587064676617,Cuomo,Cuomo 40‑60%
ED   66,AD 65,69,117,2,202,65066,TRUE,TRUE,0.5792079207920792,0.3415841584158416,0.009900990099009901,Cuomo,Cuomo 40‑60%
