ED_num,AD_num,zohran25,cuomo25,lander25,total25,districtid,public_housing,selected_devs,cuomo_share,mamdani_share,lander_share,leader_name,category
ED    3,AD 40,40,14,2,65,40003,FALSE,FALSE,0.2153846153846154,0.6153846153846154,0.03076923076923077,Mamdani,Mamdani 60‑80%
ED    3,AD 41,30,128,5,176,41003,FALSE,FALSE,0.7272727272727273,0.17045454545454544,0.028409090909090908,Cuomo,Cuomo 60‑80%
ED    3,AD 42,322,91,64,507,42003,FALSE,FALSE,0.1794871794871795,0.6351084812623274,0.126232741617357,Mamdani,Mamdani 60‑80%
ED    3,AD 43,347,64,38,489,43003,FALSE,FALSE,0.130879345603272,0.7096114519427403,0.077709611451942745,Mamdani,Mamdani 60‑80%
ED    3,AD 44,77,20,54,162,44003,FALSE,FALSE,0.12345679012345678,0.47530864197530864,0.3333333333333333,Mamdani,Mamdani 40‑60%
ED    3,AD 45,47,210,18,296,45003,FALSE,FALSE,0.7094594594594594,0.15878378378378377,0.060810810810810814,Cuomo,Cuomo 60‑80%
ED    3,AD 46,189,79,66,361,46003,FALSE,FALSE,0.2188365650969529,0.5235457063711911,0.18282548476454294,Mamdani,Mamdani 40‑60%
ED    3,AD 47,18,24,4,51,47003,FALSE,FALSE,0.47058823529411764,0.35294117647058826,0.0784313725490196,Cuomo,Cuomo 40‑60%
ED    3,AD 48,13,176,2,204,48003,FALSE,FALSE,0.8627450980392157,0.06372549019607843,0.00980392156862745,Cuomo,Cuomo 80%+
ED    3,AD 49,3,15,0,18,49003,FALSE,FALSE,0.8333333333333334,0.16666666666666666,0,Cuomo,Cuomo 80%+
ED    3,AD 50,483,57,111,678,50003,FALSE,FALSE,0.084070796460177,0.7123893805309734,0.16371681415929204,Mamdani,Mamdani 60‑80%
ED    3,AD 51,21,66,4,102,51003,FALSE,FALSE,0.6470588235294118,0.20588235294117646,0.0392156862745098,Cuomo,Cuomo 60‑80%
ED    3,AD 52,59,12,14,89,52003,FALSE,FALSE,0.1348314606741573,0.6629213483146067,0.15730337078651685,Mamdani,Mamdani 60‑80%
ED    3,AD 53,269,55,14,350,53003,FALSE,FALSE,0.15714285714285714,0.7685714285714286,0.04,Mamdani,Mamdani 60‑80%
ED    3,AD 54,52,8,0,62,54003,FALSE,FALSE,0.12903225806451613,0.8387096774193549,0,Mamdani,Mamdani 80%+
ED    3,AD 55,141,111,9,282,55003,FALSE,FALSE,0.39361702127659576,0.5,0.031914893617021274,Mamdani,Mamdani 40‑60%
ED    3,AD 56,91,208,6,326,56003,FALSE,FALSE,0.6380368098159509,0.2791411042944785,0.018404907975460124,Cuomo,Cuomo 60‑80%
ED    3,AD 57,50,73,3,150,57003,TRUE,FALSE,0.4866666666666667,0.3333333333333333,0.02,Cuomo,Cuomo 40‑60%
ED    3,AD 58,74,184,3,291,58003,FALSE,FALSE,0.6323024054982818,0.2542955326460481,0.010309278350515464,Cuomo,Cuomo 60‑80%
ED    3,AD 59,91,192,1,304,59003,FALSE,FALSE,0.631578947368421,0.2993421052631579,0.003289473684210526,Cuomo,Cuomo 60‑80%
